상품명,가격
헬스장 마그네틱 파우치 팝니다!,"8,000원"
"(약 4개월) 신당역 스포짐 (헬스+골프) 운동복,락카 서비스","409,000원"
스포짐 신당점 헬스장 양도 7개월,"210,000원"
각도조절 헬스 벤치,"18,000원"
(급처) 본투윈 B2 헬스 가방 백팩 팔아요,"40,000원"
관리의기술PT 신당점 PT15회 + 헬스장2개월,"660,000원"
나이키 헬스장갑 L,"5,000원"
"스포짐 신당점 헬스장 이용권 (+ 운동복, 락커)","300,000원"
X KING 헬스용 로잉머신 (복근 운동기구),"20,000원"
헬스포츠 발할텐트(이너텐트포함),"1,500,000원"
헬스포츠 김레4,"1,000,000원"
(새상품) 리복 크로스핏 나노 8.0 260 (전문 헬스트레이닝화),"51,000원"
필터 (1),"종각역,을지로입구역 인근 헬스장 양도(25만원,10/19까지)"
"종각역,을지로입구역 인근 헬스장 양도(25만원,10/19까지)","250,000원"
헬스보이짐 시청점 양도,"100,000원"
펄스핏(프레지던트호텔) 시청 헬스장 6개월이상 양도,"150,000원"
나이키 메트콘9 260 사이즈 헬스 3번 착용,"72,000원"
빌드업피트니스 PT&골프 서대문역점 PT10회+헬스 +사우나 10개월,"730,000원"
[가격다운] 메트콘 크로스핏 신발 운동화 헬스신발,"15,000원"
7월 오픈한 초신상 5성급 호텔 숙박권 판매(8/9),"300,000원"
나이키 레볼루션 6 사이즈 225 운동화,"20,000원"
나이키 에어포스 255,"50,000원"
반스 어센틱 스웨이드 코듀라 블랙 260,"15,000원"
삼성 헬스 스마트 체중계,"10,000원"
mct충무로점 헬스장 양도,"200,000원"
약수역 베네짐 헬스장 3개월 양도,"120,000원"
"서울역 파크짐 헬스장+락카 (26년 2월까지, 4개월 정지 가능)","380,000원"
판매완료,명동 바디플렉스짐 헬스장 회원권 양도
명동 바디플렉스짐 헬스장 회원권 양도,"150,000원"
짐구공 시청점 스피닝 헬스 양도 4개월,"160,000원"
판매완료,명동 피트니스101 헬스 회원권 11개월 양도
명동 피트니스101 헬스 회원권 11개월 양도,"480,000원"
판매완료,"명동/을지로 피트니스101 헬스장 회원권 11개월 양도(헬스,운동복,락커 포함)"
"명동/을지로 피트니스101 헬스장 회원권 11개월 양도(헬스,운동복,락커 포함)","480,000원"
짐구공 시청역 헬스이용권 4개월,"180,000원"
숙대입구역 락카포함 스포벡 휘트니스 헬스장 양도 합니다(5.22일 기준 310일),"400,000원"
스포짐 을지로점 헬스 3개월권 양도(97일),"150,000원"
"짐구공 시청역점 헬스 8개월 이용권(라커, 운동복 포함)","250,000원"
판매완료,헬스장 회원권 양도 <바디플렉스짐 명동점>
헬스장 회원권 양도 <바디플렉스짐 명동점>,"400,000원"
[광화문헬스장] 버핏그라운드 9개월(284일) 이용권,"400,000원"
(새상품) 핏기어즈 헬스코르셋 복압벨트 허리 보호대,"9,000원"
"스포애니 프로 헬스장 9개월 +@ , 운동복 , 라커","350,000원"
캐나다 여성 자전거 쇼츠 라이딩 바이크 헬스,"10,000원"
헬스포츠 바랑에르돔 8-10 미개봉 신품,"1,100,000원"
뉴발란스 530 흰/녹 265mm 운동화,"35,000원"
애플워치 8 GPS 45mm 미드나이트,"200,000원"
pt이용권 팝니다,"1,200,000원"
서울역 엘리트핏24 그룹 필라테스 37회 이용권,"450,000원"
팀버핏 무제한권 (광화문) 4개월,"125,000원"
갤럭시 워치4 40mm 블랙,"50,000원"
짐구공 시청역점 이용권 구매합니다.,"11,111원"
(10/11토-12일) 노보텔 용산 슈페리어룸 객실 양도,"230,000원"
갤럭시 워치6 40mm lte s상품급,"110,000원"
엘리트핏24 pt양도,"1,000,000원"
판매완료,스포애니 종각역Pro점 회원권 양도
스포애니 종각역Pro점 회원권 양도,"300,000원"
갤럭시 워치4 화이트,"40,000원"
"갤럭시 워치4 40mm , 44mm 커플","50,000원"
애플 에어팟 맥스 실버,"320,000원"
나이키 매트콘 270 화이트/핑크,"40,000원"
팀버핏 광화문 이용권 양도 (66일),"400,000원"
더블에스휘트니스 명동점 양도권,"400,000원"
스포애니서울시청점(운동복포함)26년5월,"280,000원"
ems 마사지기기 셀룰라이트 슬림핏 괄사 승모근 허벅지 뱃살 팔뚝 칼로,"60,000원"
아디다스 230 신발 판매,"10,000원"
디팰리스 스포츠클럽 이용권 판매,"2,100,000원"
나이키 헬스화 메트콘 8 DO9327 / 사이즈 235,"48,000원"
스테이트타워 gym 헬스이용궝,나눔
나이키 더플백 헬스 운동 가방(거의새것),"29,000원"
헬스고무발판/층간소음방지발판/헬스고무패트,"10,000원"
헬스장에서 받은 가방,나눔
각도 조절 헬스 벤치,나눔
헬스헬퍼 맥스컷 프로 120캡슐 *5박스,"140,000원"
MCT GYM 서울시청점 헬스장 양도 (~26년 8월),"230,000원"
명동 헬스장 10개월권 양도 (26년 1월 초까지),"280,000원"
헬스장 명동바디플렉스짐 명동본점 PT 20회 양도,"900,000원"
스포짐 종로점 301일 헬스&락커 이용권 양도,"350,000원"
배곧스포츠 헬스 스쿼트 어깨 보호대 봉쿠션,나눔
을지로 헬스보이 양도합니다,"115,000원"
판매완료,헬스장 회원권 270일
헬스장 회원권 270일,"285,000원"
판매완료,명동 바디플렉스짐 헬스 회원권 2개월 양도
명동 바디플렉스짐 헬스 회원권 2개월 양도,"90,000원"
종로_스포짐 헬스 양도합니다,"300,000원"
판매완료,"스포짐 을지로점 헬스장 회원권 양도합니다[약 10개월=313일, 락카포함]"
"스포짐 을지로점 헬스장 회원권 양도합니다[약 10개월=313일, 락카포함]","350,000원"
명동 더블에스 휘트니스 헬스장 이용권 팔아요,"128,000원"
판매완료,스포애니 헬스 회원권(10/7까지)
스포애니 헬스 회원권(10/7까지),"40,000원"
피트니스101 헬스+운동복 4개월,"210,000원"
더블에스 명동점 헬스 이용권 양도,"230,000원"
판매완료,[헬스장 회원권 양도] 헬스보이짐 앤 필라걸 을지로점
[헬스장 회원권 양도] 헬스보이짐 앤 필라걸 을지로점,"170,000원"
헬스웨이 3kg 케틀벨,5원
자메이카 피트니스 헬스 종로 양도,"250,000원"
판매완료,🔥 PT 1회 3.5만 원대 / 시청 MCTGYM 양도 (PT 15회+헬스 3개월)
🔥 PT 1회 3.5만 원대 / 시청 MCTGYM 양도 (PT 15회+헬스 3개월),"520,000원"
헬스) PT 27회 남음 이용권 양도,"37,000원"
판매완료,헬스/피트니스 회원권 양도
헬스/피트니스 회원권 양도,"330,000원"
버핏그라운드 광화문 헬스+사우나 (195일 잔여)/ 락커 이용권,"315,000원"
"자마이카 피트니스 종로점 양도 (헬스, 300일)","750,000원"
짐구공 시청점 헬스 + PT + 개인락카 양도,"330,000원"
명동 FITNESS101 헬스권 (145일)양도합니다,"180,000원"
빌드업 휘트니스 종각역점(헬스+골프+일반락커),"632,000원"
FITNESS101 명동점 헬스+골프 연습장 양도,"470,000원"
XFORCE 헬스벨트 허리보호대,"19,000원"
오주코 헬스 백팩 OZ-9386,"10,000원"
이고진 스텝퍼 9120 다이어트 운동기구 헬스기구,"10,000원"
"(여성용/미사용/택포)코오롱스포츠 스트레치 밴드 반장갑/등산,캠핑,헬스",123원
"정말 예쁜 검정색 헬스가방, 요가가방, 여행가방 새제품 팔아요 :)","15,000원"
헬스용 민소매 XL,"5,000원"
헬스용 검정 바지 XL,"5,000원"
[L7롯데프리미엄/오늘] <3/15(일) 주말 1박 호텔 숙박 패키지 이용권> 조식포함 양도 판매,"159,000원"
23시간 전,종각 빌드업피트니스 회원권 양도
종각 빌드업피트니스 회원권 양도,"250,000원"
판매완료,종각 빌드업피트니스 회원권 양도
종각 빌드업피트니스 회원권 양도,"114,000원"
청계천 종각역 빌드업피트니스(잔여310일),"270,000원"
BODYX 로만체어 팝니다,"50,000원"
실내 자전거 페달 운동기,"5,000원"
빌드업피트니스 종각점 양도,"240,000원"
더블에스휘트니스 명동점 양도,"350,000원"
(남성280)아디다스 울트라 부스트 런닝화,"45,000원"
[가격내림] 1/17(토)~18(일) 오라카이 인사동 스위츠 숙박권 판매합니다! 수영장무료! (침대룸+주방+거실),"120,000원"
삼성 갤럭시 워치7,"190,000원"
스포애니 종각역 프로 8개월 이용권,"239,000원"
애플워치 시리즈 9 45mm GPS 스타라이트 알루미늄,"230,000원"
판매완료,서대문역 빌드업 피트니스 회원권 양도
서대문역 빌드업 피트니스 회원권 양도,"800,000원"
버핏그라운드 광화문 이용권 90일,"210,000원"
판매완료,스포짐 을지로 회원권 판매
스포짐 을지로 회원권 판매,"300,000원"
예약중,더블에스피트니스 명동점 회원권양도 (양도비포함 16만/잔여 5개월)
더블에스피트니스 명동점 회원권양도 (양도비포함 16만/잔여 5개월),"160,000원"
나이키 슈즈가방 팝니다,"20,000원"
판매완료,디팰리스 회원권 양도
디팰리스 회원권 양도,"1,300,000원"
아디다스 테렉스 블랙 헬스화 270,"10,000원"
끌올 4일 전,원알엠 헬스가방
원알엠 헬스가방,"50,000원"
파크짐 청구역 헬스장 양도,"180,000원"
스포짐 을지로 헬스장 이용권 양도합니다,"100,000원"
피트니스101 헬스 + 개인락커 10개월,"400,000원"
헬스보이짐 앤 필라걸 을지로점 양도,"150,000원"
이고진 8705R 가정용 헬스 자전거,"14,000원"
삼성 갤럭시 워치2 44mm 블랙,"45,000원"
판매완료,더블에스휘트니스 명동점 회원권
더블에스휘트니스 명동점 회원권,"280,000원"
충무로 GDR 골프 연습장 이용권 - 7개월,"500,000원"
갤럭시 워치6 블랙 40mm,"90,000원"
MCTGYM 헬스장 장충 양도 (26년 5/8까지),"290,000원"
헬스 운동기구,"20,000원"
DDP 시그니처짐 헬스장 7월17일까지 양도,"150,000원"
MCTGYM 헬스 PT 6회권,"150,000원"
판매완료,MCT gym 헬스장 장충점 (동대입구) 회원권 양도 6개월 20만원
MCT gym 헬스장 장충점 (동대입구) 회원권 양도 6개월 20만원,"200,000원"
헬스장MCTGYM 장충점 헬스 10개월 양도합니다!,"290,000원"
스포애니 프로 종각역점 헬스 이용권 ~26년1월,"90,000원"
MCTGYM 장충점 헬스10개월 양도합니다,"285,000원"
"[정품,새제품] 🖤 나이키 필드 제너럴 블랙 색상 ⚫️","42,000원"
"[정품,새제품] 나이키 필드 제너럴 화이트 240mm","40,000원"
끌올 2일 전,더블에스 휘트니스 명동점 회원권 319일
더블에스 휘트니스 명동점 회원권 319일,"400,000원"
"[정품,새상품] 아디다스 더플백 저렴히 당근해요 🥕","28,000원"
오버더바이크 안장포함,"260,000원"
애플 에어팟 맥스 스페이스 그레이 급처 S급 (2세대) USB-C,"499,000원"
쇼파에서 운동가능한 싸이클,"39,000원"
갤럭시 워치4 40mm,"50,000원"
베르사 XL 판매합니다.,"40,000원"
엠버서더 서울 풀만 사우나 이용권 2매 일괄 판매합니다!^^,"15,000원"
판매완료,동대문 시그니처짐 1년 회원권 양도
동대문 시그니처짐 1년 회원권 양도,"550,000원"
나이키 여성 트레이닝 운동화 250,"10,000원"
반스 265,"10,000원"
스피릿 XS95A 헬스장용 스텝퍼,"290,000원"
MCT GYM 헬스장 양도 (양도시부터 5개월),"200,000원"
파크짐 헬스장 5개월권 양도합니다,"240,000원"
동대문 던던 헬스장 샤머니짐 4개월 양도 운동복 락커포함,"150,000원"
판매완료,동대문역사문화공원역 샤머니짐헬스회원권양도
동대문역사문화공원역 샤머니짐헬스회원권양도,"200,000원"
샤머니짐 헬스&PT 동대문점 11개월 양도자 구합니다!!,"371,000원"
헤드 접이식 실내자전거,"55,000원"
나이키 보메로18 SE(한정판) 런닝화 270mm,"120,000원"
렉스파 접이식 실내자전거,"45,000원"
판매완료,시그니처짐 회원권 양도 판매합니다
시그니처짐 회원권 양도 판매합니다,"270,000원"
동대문 던던 샤머니짐 양도 할께요’,"315,000원"
나이키 블랙 반바지 M,"10,000원"
판매완료,스포벡휘트니스 경희대점 8개월 회원권(운동복 포함)
스포벡휘트니스 경희대점 8개월 회원권(운동복 포함),"280,000원"
GASP Pro 후드집업 버건디,"100,000원"
"왓유니드 엑스포디움 니슬리브/무릎보호대 스몰 사이즈 (시착 O, 운동 때 사용 X, 완전 새 거)","17,000원"
접이식 벤치 헬스용품,"20,000원"
파크짐 동대문점 헬스장 9개월 이용권,"200,000원"
샤머니즘 헬스 동대문점 약 4개월 양도(락커 포함),"140,000원"
바디스테이션 헬스장 양도 ~9월 13일(162일),"210,000원"
헬스보이짐 앤 필라걸 7개월반 남은거 헬스장 양도해용!,"200,000원"
헬스보이짐 을지로점 골프 레슨권 앙도합니다,"800,000원"
스포짐 을지로점 양도(11개월),"380,000원"
판매완료,어메이징휘트니스 종로점 회원권 약 6개월
어메이징휘트니스 종로점 회원권 약 6개월,"250,000원"
나이키운동화 TC7900 245,"80,000원"
아디다스 아디제로 아디오스 프로4 265,"230,000원"
판매완료,스포짐 을지로 회원권 (잔여일 204일)
스포짐 을지로 회원권 (잔여일 204일),"300,000원"
[을지로] 스포짐 pt 20회,"800,000원"
언더아머 트레이닝화 270,"27,000원"
반스 올드스쿨 검흰 265,"30,000원"
헬스헬퍼 보틀 400ml 새제품,"1,000원"
"나이키 메트콘9 헬스화 METCON9 카키, 250 (DZ2617-300)","25,000원"
끌올 2개월 전,대원헬스랩 핑거루트 다이어트 앤 뷰티
대원헬스랩 핑거루트 다이어트 앤 뷰티,"10,000원"
"쌈지 반팔티(헬스,집에서 편히입는 용)","5,000원"
3개월 전,약수역 근처 헬스 회원권 삽니다
약수역 근처 헬스 회원권 삽니다,"9,999원"
스포애니 spoany 헬스권 양도 (6개월) 운동복 락커 포함,"240,000원"
새상품) 나이키 메트콘 8 블랙 (255) 헬스화 트레이닝화 역도화 운동화,"30,000원"
헬스장 양도 합니다,"250,000원"
헬스장 파크짐 약수 2개월 양도,"55,000원"
청구 파크짐 헬스권 양도 26년 3월 23일까지,"110,000원"
반석스포츠 헬스매트 대형,"10,000원"
블럭매트 홈짐 헬스장 고무매트,"22,000원"
판매완료,24시 헬스장 파크짐 청구점 9개월 회원권 싸게 양도
24시 헬스장 파크짐 청구점 9개월 회원권 싸게 양도,"330,000원"
판매완료,"헬스장갑 M 쿠팡가 16,900원"
"헬스장갑 M 쿠팡가 16,900원","5,000원"
판매완료,베네짐 약수 헬스장 4개월+2주 회원권 양도
베네짐 약수 헬스장 4개월+2주 회원권 양도,"266,000원"
헬스장 물통 & 스벅 물통,"1,000원"
판매완료,(헬스 회원권 양도) 파크짐 약수 - 2개월 사용권
(헬스 회원권 양도) 파크짐 약수 - 2개월 사용권,"60,000원"
"이고진 헬스 홈트 중량 무게 조절 덤벨 아령 22kg, 1개","80,000원"
베르사그립 pro XS a급 / 헬스스트랩,"50,000원"
2단 흰색 사물함 락커 5개,"57,000원"
굿매너 황사마스크 KF80 소형 흰색 50매,"13,000원"
HDEX 워크아웃 짐 레더 벨트 XL,"50,000원"
갤럭시 핏2 팝니다,"10,000원"
QCY 헤드폰 H4 노이즈캔슬링,"35,000원"
베네짐 약수역점 7개월+3주 이용권(락커.운동복 모두 포함),"350,000원"
삼성 갤럭시 워치6/40mm 블랙,"90,000원"
Leto 푸쉬업 홈 트레이닝 푸쉬업 보드,"3,000원"
리밴드 무릎보호대 S 5mm 2개 (REHBEND),"6,000원"
나이키 메트콘 9 라이트 아이언 오어 285사이즈,"65,000원"
나이키 레볼루션 6 넥스트 네이처 270 화이트,"29,000원"
룰루레몬 심리스 와이드 헤드밴드,"21,000원"
캐치볼 250 블루 스니커주,"12,000원"
"파모아 격자무늬 볼캡 모자,특가세일","4,000원"
필터 (1),베네짐 약수 헬스장 회원권 양도 (약 6개월)
베네짐 약수 헬스장 회원권 양도 (약 6개월),"220,000원"
쉬크 헬스 벨크 XS 사이즈,"10,000원"
